TitleEng,TitleRus,Genre,Story,Rating
The beast tamer exiled from the the hero’s party and the cat eared girl from the strongest race meet,"Укротитель зверей, изгнанный из команды героя, встретил девочку-кошку из сильнейшей расы",Гарем Комедия Повседневность Романтика Сейнен Фэнтези Экшен ," Рейн Шрауд - всего лишь укротитель зверей. Несмотря на это, он смог стать частью команды героя, где нашёл верных компаньонов. По крайней мере, он так надеялся... Однажды в один прекрасный день, его товарищи неожиданно выгнали его из команды, выставив его за дверь. Они считают, что такой слабак как Рейн им не нужен. Чтобы заработать себе на пропитание, Рейн решил податься в авантюристы. На одном из заданий он видит девушку-кошку, на которую напало чудовище, и решает ей помочь. Эта встреча стала началом новых приключений. ",8.4
Memorize,Запомнить,В цвете Веб Героическое фэнтези Драма Исекай ЛитRPG Магия Приключения Сейнен Супер сила Фантастика Фэнтези Экшен ," Мир, существующий поодаль нашего — Адская Тропа. В один из дней после демобилизации из армии, Ким Су Хён был внезапно перемещен в этот непонятный мир. Ему удалось пройти через множество препятствий и достичь успеха в этом мире. Хоть он и смог в конце концов вернуть все в прежнее русло, 10 лет, которые он провёл там, стали пятном, напоминающим про всю боль причиненную ему в том мире. Для того, чтобы изменить то ужасное прошлое, Ким Су Хён решает использовать силу «Кода Zero». — Использовать объект с такой огромной силой только для того, чтобы повернуть время вспять — это просто абсурд. Пользователь Ким Су Хён, вы действительно хотите заново пережить те мучительные 10 лет? — Серафима, закончившая говорить, теперь смотрела на меня с умоляющими глазами. — Хах... — вдруг из меня вышел смешок, не имевший никаких предпосылок. Это буквально был смех без какой либо причины. ",8.71
Cylcia=Code,Код Цильции,Игры Научная фантастика Сёнен Смена пола Фантастика Фэнтези Школа Этти ," Каната - обычный подросток, который ходит в школу. Все считают его неудачником на фоне его гениального брата. Но в этой манге не пойдет речи о его достижениях в реальной жизни.Однажды, ему приходит письмо от его давней знакомой Хинаты, которая три года назад легла на лечение в больницу в Йокогаме. Но письмо не простое... Это приглашение в игру, о которой так много говорят! Каната, не понимая ничего, пытается разобраться в этом странном письме. Вскоре, он попадает в игру, где встречает Хинату, но в один момент все переворачивается ... Два мира смешались: игровой и реальный. Что же будут делать наши герои, вернувшиеся в реальный мир игровыми персонажами?© antiQuarianN ",8.23
Tokyo Aliens,Токийские пришельцы,Комедия Научная фантастика Сверхъестественное Сейнен Фантастика Школа Экшен ," Гунджи Акира, только перешедший в старшие классы, мечтает стать полицейским, как и его отец. Однако однажды после уроков он знакомится с пришельцем, и эта роковая встреча втягивает его в приключения с внеземной жизнью... ",0.0
An Unseemly Lady,Влиятельная леди,В цвете Гарем Исекай Комедия Романтика Сёдзе Фэнтези ," Я попала в мир новеллы обратного гарема, в тело младшей сестры главной героини. Проснувшись в теле младшенькой, после серьёзной болезни, меня начала опекать с любовью главная героиня.И использовав это, я избавила свою сестренку от душевной раны, что нанёс бы ей паршивый главный герой. ",9.5
Library of Heaven's Path,Библиотека Небесного Пути,Боевые искусства В цвете Веб Демоны Экшен ," Чжан Хуан переродился в другом мире и стал учителем, а в его голове появилась таинственная библиотека. С тех пор он может автоматически написать книгу о недостатках, слабых местах любого человека или предмета! Набор учеников, их обучение и воспитание, образование класса, который когда-то покорит мир! Это история об учителе, который передал знания о вселенной своим сильнейшим наследникам. ",8.67
Updater,Мастер заточки,В цвете Веб Героическое фэнтези Игры ЛитRPG Научная фантастика Приключения Сёнен Супер сила Фантастика Фэнтези Экшен ," Родная деревня главного героя, кузнеца-нпс Эйдена, была подвергнута зачистке модератором системы. В ходе сего бедствия младшая сестра Эйдена, Эллис, погибает, что становится для него переключателем между мирной жизнью и жизнью, полной жажды во что бы то ни стало уничтожить систему, отобравшую у эйдена его единственную родственницу. Неожиданно для себя он обретает полномочия модератора и продолжает становиться сильнее, чтобы осуществить задуманное. До какого же уровня сумеет дойти наш герой в погоне за своей целью? ",8.27
Ao Ashi,Ао Аши,Сейнен Спорт Школа ," Ашито Аой, ученик третьего класса средней школы из префектуры Эхиме, встречает тренера «Молодежной лиги J» Фукуду Тацую. Несмотря на свою грубость, Ашито обладает таким удивительным потенциалом, что тренер Фукуда приглашает его принять участие в отборочных тестах своей команды в Токио. Взгляните на историю мальчика, который совершит революцию в японском футболе. ",7.5
Kemono Giga,Карикатура на монстров,Веб Приключения Сверхъестественное Сейнен Сёнен Школа , Мицумине Ю переводится в школу в новом городе и сразу же сталкивается с неожиданными проблемами. ,0.0
The Tutorial Is Too Hard,Невероятное обучение,Боевые искусства В цвете Веб ЛитRPG Магия Приключения Сверхъестественное Сейнен Супер сила Фэнтези ," [Вы согласны войти в мир обучения?]  Именно это небольшое окно с уведомлением раз и навсегда изменило мою никчёмную жизнь. Будучи про-игроком в отставке, я решил выбрать самый высокий уровень сложности, но, позднее, горько пожалел об этом. Конечно же, название [Адская сложность] говорило само за себя, но я не ожидал, что всё будет настолько ужасно… ",8.5
I gave birth to a child of killer,Я родила ребенка убийцы,В цвете Веб Драма Романтика Сёдзе Фэнтези ," Одной порочной ночью на свет появился ребёнок... Карин, девушка, чья жизнь служила разменной монетой в грядущем браке по расчёту, забеременела. Род отверг её, а к дитю относился с пренебрежением. В один из дней, когда Карин была занята привычными заботами о ребёнке, её отец, измученный поисками жениха своей непутёвой дочери, узнал, что эрцгерцог, на чьих землях ежедневно умирали люди, ищет себе жену. Увидев в этом выход, мужчина продал Карин свирепому эрцгерцогу, которого за глаза называли: ""убийца"". - Мне от тебя ничего не нужно. Живи в том крыле, что тебе выделили, и не попадайся мне на глаза. Это был тот самый мужчина, с которым был зачат ребёнок Карин. В ту жаркую ночь он говорил, что потерял зрение, и сейчас, стоя лицом к лицу, совершенно не узнавая её, мужчина лишь подтвердил слова той ночи... - От меня точно ничего не потребуется? - Точно. - Тогда, следуя вашему приказу, я буду жить там, не попадаясь вам на глаза. Видя, как смиренно девушка приняла свою участь, глаза эрцгерцога расширились в удивлении. Взяв ребёнка за руку, Карин направилась в новый дом. ",9.0
"Queen of Posion: The Legend of a Super Agent, Doctor and Princess","Ядовитый мир: Легенда о спецагенте, целителе и принцессе",Боевые искусства В цвете Веб Исекай Комедия Магия Приключения Романтика Сверхъестественное Сёдзе Фэнтези ," Она - спецагент, обладающая невероятными знаниями в медицине и изготовлении ядов. Она мила и очаровательна, но лишь на первый взгляд. На деле - она хитра и решительна. Наполовину ангел, наполовину дьявол. Она путешествует во времени и попадает в тело маленькой девочки-сироты. Перепишет ли она историю?   ""Я отверг предложение о браке с этой трусихой. Но, к моему удивлению, она столь проницательна и красноречива! Каким же я был глупцом!"", - господы полны сожалений.   ""Она такая горячая штучка!"" - вздыхает Принц. ",8.5
I Will Politely Decline the Male Lead,"Пожалуй, откажусь от главного героя!",В цвете Веб Исекай Романтика Сёдзе Фэнтези Школа ," Так получилось, что я стала главной злодейкой, которую должны приговорить к смерти. Но даже если я никого не буду убивать, то для меня всё равно это заканчивается смертью. И вот после третьего возвращения и решила. Пущусь во все тяжкие.  Как бы я не жила, всё равно умру, так не лучше ли жить так, как хочется?  Но похоже, ситуация слишком отдалилась от сюжета. Почему мужские персонажи, которые должны любить главную героиню, вдруг заинтересовались мной? ",7.89
Mountain God,Охотник на Сансина,Боевые искусства В цвете Веб Мистика Приключения Сверхъестественное Фэнтези Экшен ," Хан Се Хи — странствующий воин со шрамом на лице, преисполненный жаждой мести за смерть своего мастера по оружию из Донхе. Со своим мечом с заключённой в нём душой Чёрного Тигра он охотится на горных духов, дабы стать сильнее и однажды поймать Священного Зверя. ",6.5
I Don't Love You Anymore,Я больше не люблю тебя,В цвете Веб Драма Романтика Сёдзе ," Мир для Нивеи всегда был холодным. Люди смотрели на неё с презрением из-за того, что она была дочерью горничной, а родители не обращали внимания. Казалось, будто она попала в холодный и заснеженный мир, где до неё никому не было дела.  Так она жила день за днём, пока однажды не узнала о помолвке. Это был брачный контракт, заключённый её отцом. А жених - граф Валер Уисташ.  Это и было начало трагедии и ужасной любви.  ""У любви есть срок. Мы его упустили, так что больше я тебя не люблю"".  И вот так Нивея отвернулась от жениха, который ни разу за десять лет не обратил на неё внимание. А потом уехала из страны в соседнее государство.  И там она хотела жить без ожиданий и надежд спокойной тихой жизнью, однако... Правитель оказался к ней очень благосклонен.  ""Мне бы хотелось твоего счастья. Всё, что ты хочешь, я могу для тебя сделать. Хочу подарить тебе мир, в котором не нужно смотреть на реакцию людей вокруг""  После встречи с Арентом, лёд вокруг Нивеи начал таять, будто бы началась весна. ",9.08
Secret Class,Тайное обучение,В цвете Веб Гарем Драма Комедия Романтика Сейнен Хентай Этти ," Он стал сиротой в возрасте 13 лет и был усыновлен другом своего отца. Однако, когда он достиг совершеннолетия, он ничего не знает об отношениях между мужчиной и женщиной , поэтому Тетя и её дочери решили дать ему несколько специальных уроков. ",9.01
Elf-san wa Yaserarenai.,Эльф не может сидеть на диете,Комедия Фэнтези ," Молодой Наоэ Томоацу работает консультантом в популярной клинике сэйтай-терапии, где прописывает женщинам курсы различных диет. Однажды перед ним предстаёт необычный клиент – эльфийка из другого мира! С длинными ушами и настоящим луком! Эльфы веками остаются стройными, почему она вдруг располнела? И будет ли успешной её диета? ",7.79
Heavenly Jewel Change,Небесная жемчужина: перевоплощение,Боевые искусства В цвете Веб Героическое фэнтези Комедия Магия Приключения Романтика Сёнен Супер сила Фэнтези Экшен ," Эта история о Чжоу Вэйцине, которого с самого рождения высмеивали за то, что судьба обделила его жемчужиной сущности, но однажды волею случая он смог поглотить жемчужину сущности демонического тигра, пришедшего из другого мира. С этого момента наш герой вступает на путь противостояния воли небес, в ходе которого он знакомится с оказавшейся на его пути девушкой и влюбляется в неё. Что же ждёт нашего героя? ",9.0
Youkai Shoujo - Monster Girl,Девушка-монстр,Комедия Романтика Сверхъестественное Сейнен Этти ," Нишизуру Яцуки – постоянный работник на полставки, постоянный клиент кафе горничных, 20-летний девственник. Что делает его особенным, так это способность видеть призраков. Но призраки – не чудовища, большинство из них безобидны. По крайней мере, наш герой может жить, просто игнорируя их. Яцуки никогда не верил в монстров, вплоть до того дня, когда он встретил девушку по имени Рокка. И похоже, что у этой весёлой девушки есть секрет… ",7.91
I've been trapped every day for a thousand years,Я переживал один и тот же день в течение тысячи лет,Боевые искусства В цвете Веб Исекай Сёнен Супер сила ," Линвьет попадает в мир Хунмэн, застревая во временной петле на сто тысяч лет. Что бы он ни делал, с рассветом день начинается заново. За всё это время он овладел всевозможными знаниями, выведал секреты всех сект и уже примирился со своей участью. Но накануне сотого тысячелетия он похищает невесту седьмого демона-императора, отрубает руку сыну верховного старейшины – после чего понимает, что наступил новый день. ",8.0
Player-mechanic,Легендарный механик,Боевые искусства В цвете Веб Игры Исекай Комедия Меха Научная фантастика Приключения Сверхъестественное Супер сила Экшен ," Что вы будете делать, если однажды проснётесь и обнаружите, что оказались внутри игры, которую всегда любили? Что вы будете делать, когда осознаете, что не просто стали неигровым персонажем, но и вас к тому же забросило назад, в прошлое, до момента, когда игра ещё не была запущена! Что произойдёт, когда две реальности сольются воедино...?  До момента подобного перерождения Хан Сяо был игроком, профессионально занимавшимся прокачкой своего персонажа. Используя знания из своей прошлой жизни, Хан Сяо начинает своё путешествие по этому миру, готовясь к прибытию других игроков. ",7.84
A wonderful new world,Прекрасный новый мир,В цвете Веб Драма Романтика Сейнен Хентай Этти ," Ли Хао Чэн устраивается на работу в самую крупную компанию в Корее, не имея высокого профессионального образования и со стандартной внешностью, за что его коллеги по работе считают странным и подозрительным. Не смотря на это, он всеми силами старается влиться в коллектив, но в один прекрасный момент, укатившаяся монета в 500 вон навсегда изменит его мир... P.S. Прежде, чем вы начнете читать эту хентай-манхву, вы должны отдавать себе отчет, что вы собираетесь прочитать именно хентай-манхву, а как вы знаете, такие работы не блещут сюжетом уровня Тарантино и умными персонажами уровня Нолана, поэтому не нужно ждать чего-то невероятного от «ХЕНТАЙ-МАНХВЫ». ",8.45
Eternal Club,Я основал Клуб Бессмертия,В цвете Веб Мистика Повседневность Приключения Сверхъестественное Супер сила Фантастика ," Лу Ли самый заурядный и не имеющий никаких жизненных целей работник, который однажды получает необычные способности. С тех пор ему подвластно замедление и ускорение времени, но самое главное - продажа и покупка продолжительности жизни. Приобретение новых способностей побудило главного героя основать элитный клуб - клуб бессмертных. ",8.92
Lord of money,Повелитель денег,В цвете Веб Приключения Психологическое Сёнен Супер сила Фантастика ," С самого раннего детства парень рос в нищете, отучился и стал телохранителем одного из трех сыновей... владельца богатейшей корпорации на свете. Но вот, в результате жестокого инцидента... поменявшись телами, он становится на место того самого пустоголового наследника.  - Продолжать ли мне прикидываться дурачком? - Али открыть же врата врата ада и ""показать"" себя во всей красе?!  Да, супер героем он не стал. Но черт возьми, теперь ""карманы рвутся"". В руках возможность, недоступная доселе никому. Ха-Ха, перевернуть весь мир верх дном... заставить всех ублюдков... неумолимо изнывать в отчаянии... Встречайте, он наконец-то снизошел! Владыка... Бог? Ох нет, всего лишь... САМЫЙ ВЕЛИКИЙ... ПОВЕЛИТЕЛЬ ДЕНЕГ НА ЗЕМЛЕ!!! ",7.75
It All Starts With Playing Game Seriously,"Короче, это поднятие уровня!",Боевые искусства В цвете Веб Героическое фэнтези ЛитRPG Приключения Фантастика Экшен ," Игра [Metaworld] становится реальностью. Игроки получают возможность выбора классов, мир погружается в хаос. Лю И возродился обратно в игру до прихода в реальность, чтобы преодолеть собственный страх борьбы с психологическими препятствиями. Он начал подниматься, в конце концов став спасителем, чтобы решить кризис судного дня. ",8.08
